miRNA, Clontech_trimmed.1.fq, Clontech_trimmed.2.fq, Clontech_trimmed.3.fq, Clontech_trimmed.4.fq, Clontech_trimmed.5.fq, Clontech_trimmed.6.fq, Clontech_trimmed.7.fq, Clontech_trimmed.8.fq, Clontech_trimmed.9.fq, Clontech_trimmed.10.fq, Clontech_trimmed.11.fq, Clontech_trimmed.12.fq, Clontech_trimmed.13.fq, Clontech_trimmed.14.fq, Clontech_trimmed.15.fq, Clontech_trimmed.16.fq, Clontech_trimmed.17.fq, Clontech_trimmed.18.fq, Clontech_trimmed.1_acc.fq, Clontech_trimmed.2_acc.fq, Clontech_trimmed.3_acc.fq, Illumina_trimmed.1.fq, Illumina_trimmed.2.fq, Illumina_trimmed.3.fq, Illumina_trimmed.4.fq, Illumina_trimmed.5.fq, Illumina_trimmed.6.fq, Illumina_trimmed.7.fq, Illumina_trimmed.8.fq, Illumina_trimmed.9.fq, Illumina_trimmed.1_acc.fq, Illumina_trimmed.2_acc.fq, Illumina_trimmed.3_acc.fq, NEB_trimmed.1.fq, NEB_trimmed.2.fq, NEB_trimmed.3.fq, NEB_trimmed.4.fq, NEB_trimmed.5.fq, NEB_trimmed.6.fq, NEB_trimmed.7.fq, NEB_trimmed.8.fq, NEB_trimmed.9.fq, NEB_trimmed.10.fq, NEB_trimmed.11.fq, NEB_trimmed.12.fq, NEB_trimmed.1_acc.fq, NEB_trimmed.2_acc.fq, NEB_trimmed.3_acc.fq, NEXT_trimmed.1.fq, NEXT_trimmed.1.fq, NEXT_trimmed.2.fq, NEXT_trimmed.3.fq, NEXT_trimmed.4.fq, NEXT_trimmed.5.fq, NEXT_trimmed.6.fq, NEXT_trimmed.7.fq, NEXT_trimmed.8.fq, NEXT_trimmed.9.fq, NEXT_trimmed.10.fq, NEXT_trimmed.11.fq, NEXT_trimmed.12.fq, NEXT_trimmed.13.fq, NEXT_trimmed.14.fq, NEXT_trimmed.15.fq, NEXT_trimmed.16.fq, NEXT_trimmed.17.fq, NEXT_trimmed.18.fq, NEXT_trimmed.1_acc.fq, NEXT_trimmed.2_acc.fq, NEXT_trimmed.3_acc.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_2_TEST.fq, directional_dedupped_Ns_kept_3_TEST.fq, directional_dedupped_Ns_kept_4_TEST.fq, directional_dedupped_Ns_kept_5_TEST.fq, directional_dedupped_Ns_kept_6_TEST.fq, directional_dedupped_Ns_kept_7_TEST.fq, directional_dedupped_Ns_kept_8_TEST.fq, directional_dedupped_Ns_kept_9_TEST.fq, directional_dedupped_Ns_kept_10_TEST.fq, directional_dedupped_Ns_kept_11_TEST.fq, directional_dedupped_Ns_kept_12_TEST.fq, directional_dedupped_Ns_kept_13_TEST.fq, directional_dedupped_Ns_kept_14_TEST.fq, directional_dedupped_Ns_kept_15_TEST.fq, directional_dedupped_Ns_kept_16_TEST.fq, directional_dedupped_Ns_kept_17_TEST.fq, directional_dedupped_Ns_kept_18_TEST.fq, directional_dedupped_Ns_kept_1_acc_TEST.fq, directional_dedupped_Ns_kept_2_acc_TEST.fq, directional_dedupped_Ns_kept_3_acc_TEST.fq
miRNAtotal, 927113, 845169, 793414, 402555, 1157155, 743474, 1482371, 1071804, 1093606, 569163, 1258782, 511640, 695787, 1060861, 1076718, 1281959, 1373317, 1190155, 1214152, 1525508, 3941194, 2149540, 1927697, 1745570, 2610460, 2143936, 2552206, 1145074, 2445568, 2518045, 808717, 922240, 840814, 8203935, 8739932, 2523963, 3121814, 8657116, 10940511, 17432015, 15444230, 13298658, 21856174, 23515687, 29820202, 15212959, 16043893, 15516691, 3170207, 3170207, 3166207, 2007263, 6255671, 3321859, 2822651, 11232402, 13486188, 12690357, 16161571, 11068303, 7873983, 37829284, 20157789, 17352647, 17053600, 20472734, 19318787, 12929434, 17838560, 14364076, 189199, 189199, 189199, 189199, 189199, 189199, 189199, 189199, 189199, 177453, 151810, 390685, 291211, 223324, 453559, 541636, 567307, 709343, 590252, 502012, 980618, 772678, 717112, 767628, 843417, 835850, 681415, 754749, 688237
hsa-let-7a-2-3p, 34, 43, 24, 0, 45, 27, 62, 32, 81, 27, 47, 25, 26, 40, 43, 45, 63, 46, 54, 66, 163, 6, 0, 0, 0, 0, 8, 6, 7, 0, 0, 0, 0, 48, 31, 17, 28, 27, 45, 82, 86, 65, 114, 98, 100, 61, 70, 53, 16, 16, 0, 0, 20, 13, 0, 46, 64, 66, 61, 44, 37, 180, 60, 93, 60, 74, 92, 53, 75, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9, 17, 19, 18, 11, 24, 6, 20, 17, 23, 30, 12, 15, 13
hsa-let-7a-3p, 558, 452, 413, 301, 613, 594, 590, 425, 286, 213, 416, 195, 265, 394, 387, 497, 593, 481, 350, 303, 1086, 219, 173, 134, 263, 187, 227, 101, 231, 278, 49, 64, 48, 2636, 3076, 723, 1066, 3390, 4306, 5378, 5615, 4794, 7084, 7798, 9064, 5911, 5972, 5943, 1016, 1016, 803, 465, 1905, 1099, 882, 3150, 4151, 3627, 4844, 3259, 2161, 9942, 4079, 4374, 4127, 4626, 4548, 2754, 3574, 3261, 101, 101, 101, 101, 101, 101, 101, 101, 101, 88, 77, 515, 356, 142, 444, 808, 835, 1223, 950, 734, 1456, 830, 1012, 1071, 1221, 1246, 1029, 766, 906
hsa-let-7a-5p/7c-5p, 134564, 113616, 108724, 73920, 206280, 136930, 257189, 190962, 200125, 100343, 224810, 93583, 138241, 204184, 214119, 265144, 280116, 233002, 218506, 301963, 740828, 122535, 138224, 115243, 185519, 145011, 173119, 80528, 171025, 181207, 62228, 66219, 64097, 635928, 673245, 227076, 231358, 592332, 776485, 946603, 844290, 757900, 1047260, 1114254, 1337157, 769444, 844789, 828013, 803786, 803786, 855338, 546682, 1055587, 544450, 411045, 1405054, 1946635, 1721649, 1544310, 1079556, 793802, 3185625, 1495459, 1394645, 1189876, 1251153, 1281081, 1035779, 1477154, 946982, 14360, 14360, 14360, 14360, 14360, 14360, 14360, 14360, 14360, 13182, 11414, 14878, 12722, 12535, 16617, 17705, 18213, 18669, 16572, 15223, 23076, 19511, 18298, 18900, 18655, 19061, 15073, 16830, 14306
hsa-let-7b-3p, 1033, 958, 794, 623, 1828, 1076, 1979, 1494, 1843, 914, 1748, 824, 1007, 1571, 1563, 1887, 1977, 1725, 1450, 2221, 5364, 665, 598, 478, 806, 662, 746, 376, 865, 786, 221, 239, 201, 5071, 5058, 1770, 1846, 4424, 6032, 7414, 6390, 5736, 8238, 8179, 10058, 5358, 5765, 5312, 2454, 2454, 2892, 1703, 4607, 2290, 1949, 5656, 8635, 7466, 6326, 5020, 3898, 11328, 5388, 5544, 3905, 4381, 4313, 3854, 6584, 4444, 598, 598, 598, 598, 598, 598, 598, 598, 598, 648, 451, 1254, 841, 501, 1109, 1832, 1754, 1838, 1513, 1289, 2152, 1508, 1560, 1281, 1467, 1441, 1316, 1576, 1337
hsa-let-7b-5p, 74436, 67497, 64139, 37582, 104032, 68111, 127595, 95343, 114672, 51579, 110837, 44662, 56499, 86931, 89644, 99563, 97289, 92903, 98551, 133695, 344961, 23115, 25251, 19751, 34265, 25635, 31363, 14172, 29935, 30669, 10935, 11403, 10894, 308911, 255170, 115577, 91169, 240875, 310586, 375710, 329360, 293428, 396576, 427598, 509012, 217277, 228228, 225702, 175936, 175936, 171554, 112117, 233374, 118442, 97218, 285731, 391533, 428596, 345024, 235045, 186239, 732858, 330582, 304105, 286472, 299598, 258554, 189212, 261498, 170634, 6209, 6209, 6209, 6209, 6209, 6209, 6209, 6209, 6209, 5409, 4938, 7164, 5748, 5580, 8122, 8348, 9194, 9943, 8506, 7833, 12439, 10370, 9416, 10246, 10069, 9613, 7912, 8628, 7253
hsa-let-7c-3p, 58, 35, 42, 26, 65, 54, 87, 71, 98, 29, 71, 32, 43, 60, 60, 100, 85, 75, 81, 74, 260, 22, 16, 12, 16, 20, 20, 6, 16, 25, 4, 4, 3, 179, 266, 101, 56, 176, 262, 310, 289, 265, 294, 340, 493, 262, 282, 238, 88, 88, 115, 42, 182, 84, 105, 276, 338, 291, 291, 263, 143, 721, 181, 353, 264, 315, 290, 197, 356, 265, 15, 15, 15, 15, 15, 15, 15, 15, 15, 13, 9, 64, 41, 24, 47, 83, 84, 107, 84, 58, 146, 49, 95, 108, 118, 106, 104, 100, 90
hsa-let-7d-3p, 2885, 2701, 2550, 1898, 5690, 3478, 5816, 4715, 5586, 2873, 5244, 2367, 2590, 3883, 3867, 4466, 3803, 3414, 4930, 7185, 18100, 970, 680, 612, 953, 713, 906, 401, 940, 873, 268, 274, 237, 12960, 11493, 5178, 4090, 10826, 14135, 18374, 16480, 14941, 20530, 20612, 24838, 9453, 10225, 9805, 9823, 9823, 9695, 7012, 16347, 8657, 7354, 19576, 29014, 25666, 22007, 17036, 12860, 44434, 21124, 22770, 18307, 19408, 18855, 11191, 14918, 12075, 1149, 1149, 1149, 1149, 1149, 1149, 1149, 1149, 1149, 1050, 1002, 2374, 1849, 1059, 2333, 3318, 3224, 3432, 2983, 2580, 4465, 3286, 3326, 3199, 3264, 3310, 2454, 2449, 2298
hsa-let-7d-5p, 5020, 5353, 4737, 3363, 9231, 5356, 14090, 10300, 12326, 6554, 14714, 6095, 9655, 13811, 14549, 18873, 20764, 17047, 13986, 20110, 48271, 3443, 4414, 3253, 5646, 3954, 4734, 2179, 4427, 4548, 1844, 1735, 1735, 31335, 34576, 12165, 14517, 34188, 47013, 52833, 47531, 42058, 52975, 55216, 64207, 25766, 27603, 26551, 42895, 42895, 37678, 24174, 81771, 43301, 33213, 100223, 145458, 137976, 100433, 71797, 55615, 204995, 87945, 84992, 69145, 73444, 72715, 66748, 89790, 59708, 2522, 2522, 2522, 2522, 2522, 2522, 2522, 2522, 2522, 2136, 2024, 3996, 3139, 2517, 4291, 5014, 5069, 5099, 4265, 3779, 6419, 5040, 4800, 4645, 4757, 4768, 3846, 4353, 3598
hsa-let-7e-3p, 134, 112, 104, 48, 151, 94, 188, 118, 155, 66, 125, 66, 76, 133, 123, 145, 156, 136, 136, 187, 518, 63, 41, 48, 79, 53, 98, 38, 65, 82, 17, 19, 7, 232, 276, 71, 168, 385, 452, 741, 703, 648, 859, 966, 1048, 550, 622, 668, 86, 86, 26, 36, 304, 178, 158, 508, 775, 537, 735, 643, 447, 1794, 844, 802, 820, 953, 891, 675, 980, 893, 16, 16, 16, 16, 16, 16, 16, 16, 16, 9, 8, 110, 101, 36, 107, 196, 191, 314, 263, 194, 408, 287, 277, 309, 426, 385, 351, 298, 302
