miRNA, newbatch_Clontech_trimmed.1_R1.fq, newbatch_Clontech_trimmed.2_R1.fq, Illumina_trimmed.11.fq, NEB_trimmed.11.fq, NEXT_trimmed.11.fq, directional_deduped_lib_align_seed15_acc_11_bam2fastq.fq, Five_double_acc_11.fq, mm0_Clontech_trimmed.1_R1.fq, mm0_Clontech_trimmed.2_R1.fq, mm0_Clontech_trimmed.3_R1.fq, mm0_Clontech_trimmed.4_R1.fq, mm0_Clontech_trimmed.5_R1.fq, mm0_Clontech_trimmed.6_R1.fq, mm0_Clontech_trimmed.7_R1.fq, mm0_Clontech_trimmed.8_R1.fq, mm0_Clontech_trimmed.9_R1.fq, mm0_Clontech_trimmed.10_R1.fq, mm0_Clontech_trimmed.11_R1.fq, mm0_Clontech_trimmed.12_R1.fq, mm0_Clontech_trimmed.13_R1.fq, mm0_Clontech_trimmed.14_R1.fq, mm0_Clontech_trimmed.15_R1.fq, mm0_Clontech_trimmed.16_R1.fq, mm0_Clontech_trimmed.17_R1.fq, mm0_Clontech_trimmed.18_R1.fq, mm0_Illumina_trimmed.1_R1.fq, mm0_Illumina_trimmed.2_R1.fq, mm0_Illumina_trimmed.3_R1.fq, mm0_Illumina_trimmed.4_R1.fq, mm0_Illumina_trimmed.5_R1.fq, mm0_Illumina_trimmed.6_R1.fq, mm0_Illumina_trimmed.7_R1.fq, mm0_Illumina_trimmed.8_R1.fq, mm0_Illumina_trimmed.9_R1.fq, mm0_NEB_trimmed.1_R1.fq, mm0_NEB_trimmed.2_R1.fq, mm0_NEB_trimmed.3_R1.fq, mm0_NEB_trimmed.4_R1.fq, mm0_NEB_trimmed.5_R1.fq, mm0_NEB_trimmed.6_R1.fq, mm0_NEB_trimmed.7_R1.fq, mm0_NEB_trimmed.8_R1.fq, mm0_NEB_trimmed.9_R1.fq, mm0_NEB_trimmed.10_R1.fq, mm0_NEB_trimmed.11_R1.fq, mm0_NEB_trimmed.12_R1.fq, mm0_NEXT_trimmed.1_R1.fq, mm0_NEXT_trimmed.2_R1.fq, mm0_NEXT_trimmed.3_R1.fq, mm0_NEXT_trimmed.4_R1.fq, mm0_NEXT_trimmed.5_R1.fq, mm0_NEXT_trimmed.6_R1.fq, mm0_NEXT_trimmed.7_R1.fq, mm0_NEXT_trimmed.8_R1.fq, mm0_NEXT_trimmed.9_R1.fq, mm0_NEXT_trimmed.10_R1.fq, mm0_NEXT_trimmed.11_R1.fq, mm0_NEXT_trimmed.12_R1.fq, mm0_NEXT_trimmed.13_R1.fq, mm0_NEXT_trimmed.14_R1.fq, mm0_NEXT_trimmed.15_R1.fq, mm0_NEXT_trimmed.16_R1.fq, mm0_NEXT_trimmed.17_R1.fq, mm0_NEXT_trimmed.18_R1.fq, directional_deduped_lib_align_seed15_1_bam2fastq.fq, directional_deduped_lib_align_seed15_2_bam2fastq.fq, directional_deduped_lib_align_seed15_3_bam2fastq.fq, directional_deduped_lib_align_seed15_4_bam2fastq.fq, directional_deduped_lib_align_seed15_5_bam2fastq.fq, directional_deduped_lib_align_seed15_6_bam2fastq.fq, directional_deduped_lib_align_seed15_7_bam2fastq.fq, directional_deduped_lib_align_seed15_8_bam2fastq.fq, directional_deduped_lib_align_seed15_9_bam2fastq.fq, directional_deduped_lib_align_seed15_10_bam2fastq.fq, directional_deduped_lib_align_seed15_11_bam2fastq.fq, directional_deduped_lib_align_seed15_12_bam2fastq.fq, directional_deduped_lib_align_seed15_13_bam2fastq.fq, directional_deduped_lib_align_seed15_14_bam2fastq.fq, directional_deduped_lib_align_seed15_15_bam2fastq.fq, directional_deduped_lib_align_seed15_16_bam2fastq.fq, directional_deduped_lib_align_seed15_17_bam2fastq.fq, directional_deduped_lib_align_seed15_18_bam2fastq.fq, Five_double_1.fq, Five_double_2.fq, Five_double_3.fq, Five_double_4.fq, Five_double_5.fq, Five_double_6.fq, Five_double_7.fq, Five_double_8.fq, Five_double_9.fq, Five_double_10.fq, Five_double_11.fq, Five_double_12.fq, Five_double_13.fq, Five_double_14.fq, Five_double_15.fq, Five_double_16.fq, Five_double_17.fq, Five_double_18.fq
miRNAtotal, 1045613, 563349, 21528, 7151569, 5054245, 390809, 249834, 856256, 780446, 728294, 374487, 1064321, 687289, 1337503, 968633, 957220, 527003, 1157598, 475178, 649534, 984284, 993254, 1185113, 1254961, 1095977, 2140870, 1919514, 1738040, 2599593, 2134914, 2541003, 1140737, 2436298, 2508805, 8145404, 8679243, 2488939, 3089566, 8605038, 10867292, 17296101, 15369872, 13232756, 21755196, 23405706, 29636135, 3154860, 3149737, 1995406, 6209790, 3303141, 2805247, 11164816, 13396548, 12590077, 16084325, 10990385, 7802416, 37572433, 20010848, 17233663, 16973688, 20367957, 19210494, 176738, 165256, 141966, 365503, 273581, 209118, 422730, 505368, 530415, 664129, 552618, 470023, 915453, 721981, 670722, 719599, 789910, 782786, 153262, 152212, 97103, 300260, 159906, 135539, 540502, 649832, 611018, 780034, 533363, 377461, 1820556, 970865, 835542, 824122, 988079, 933964
hsa-let-7a-2-3p, 16, 0, 0, 12, 10, 2, 0, 7, 15, 3, 0, 18, 8, 24, 9, 25, 15, 13, 8, 13, 16, 15, 13, 21, 15, 2, 0, 0, 0, 0, 6, 6, 4, 0, 20, 14, 5, 15, 17, 26, 41, 59, 47, 73, 72, 59, 14, 0, 0, 10, 5, 0, 14, 27, 50, 45, 39, 21, 131, 29, 64, 46, 37, 76, 0, 0, 0, 6, 0, 0, 3, 7, 16, 19, 18, 10, 24, 6, 19, 16, 21, 29, 0, 0, 0, 0, 0, 0, 0, 4, 2, 5, 0, 2, 2, 2, 4, 2, 0, 3
hsa-let-7a-3p, 204, 92, 2, 2169, 1201, 380, 53, 544, 441, 399, 295, 596, 585, 564, 413, 254, 202, 395, 186, 251, 375, 369, 478, 548, 458, 215, 171, 134, 261, 184, 226, 101, 231, 277, 2634, 3067, 714, 1059, 3384, 4290, 5342, 5602, 4775, 7054, 7765, 9031, 1015, 758, 464, 1904, 1094, 882, 3123, 4130, 3624, 4829, 3248, 2154, 9912, 4039, 4354, 4112, 4612, 4527, 100, 74, 70, 497, 340, 137, 432, 761, 815, 1188, 918, 703, 1364, 799, 965, 1037, 1178, 1194, 54, 36, 27, 109, 50, 41, 170, 192, 177, 237, 156, 107, 487, 201, 234, 181, 263, 206
hsa-let-7a-5p/7c-5p, 234614, 140690, 1466, 383184, 567045, 14229, 27946, 133510, 112382, 107626, 73325, 204534, 135894, 255272, 189480, 198202, 99619, 223177, 92903, 137219, 202712, 212458, 263052, 277664, 231119, 122270, 137835, 114975, 185046, 144694, 172690, 80342, 170653, 180774, 633929, 671025, 225308, 230199, 590606, 774057, 942785, 842042, 755863, 1044462, 1111666, 1332938, 802577, 853722, 545273, 1053281, 543467, 410382, 1401992, 1942802, 1718373, 1541488, 1076639, 791196, 3177306, 1491149, 1390412, 1187174, 1248321, 1277576, 13608, 12378, 10705, 13955, 12108, 11829, 15673, 16624, 17020, 17635, 15586, 14370, 21678, 18412, 17172, 17869, 17711, 18047, 39095, 41560, 26649, 50983, 26569, 19941, 68244, 94341, 84043, 75465, 52728, 38584, 154851, 72331, 67719, 57762, 60616, 62765
hsa-let-7b-3p, 1404, 718, 0, 2695, 2064, 755, 103, 995, 939, 781, 605, 1782, 1054, 1926, 1459, 1770, 895, 1695, 807, 983, 1524, 1522, 1825, 1919, 1682, 663, 593, 477, 801, 659, 743, 375, 864, 783, 5046, 5027, 1756, 1826, 4409, 5990, 7384, 6370, 5714, 8205, 8148, 10009, 2440, 2885, 1692, 4582, 2271, 1937, 5595, 8596, 7429, 6302, 4997, 3873, 11259, 5347, 5514, 3886, 4359, 4274, 590, 635, 437, 1236, 825, 499, 1087, 1825, 1729, 1816, 1508, 1253, 2126, 1497, 1552, 1268, 1434, 1420, 142, 137, 69, 218, 117, 74, 281, 433, 356, 306, 232, 188, 533, 255, 251, 207, 209, 188
hsa-let-7b-5p, 106763, 63589, 226, 106441, 126151, 6766, 6477, 74206, 67298, 63939, 37480, 103734, 67928, 127179, 95032, 114295, 51418, 110457, 44514, 56294, 86613, 89309, 99158, 96813, 92511, 23012, 25162, 19676, 34141, 25528, 31234, 14114, 29809, 30576, 307660, 254131, 114654, 90733, 240137, 309447, 374295, 328466, 292608, 395550, 426625, 507360, 175646, 171094, 111803, 232846, 118176, 97015, 285000, 390599, 427815, 344458, 234388, 185692, 731173, 329639, 303367, 285922, 299058, 257898, 5902, 5160, 4700, 6766, 5474, 5296, 7709, 7861, 8671, 9435, 8133, 7485, 11780, 9896, 8993, 9797, 9591, 9153, 8472, 8269, 5396, 11319, 5699, 4625, 13685, 19170, 20896, 16424, 11363, 8957, 35372, 15713, 14608, 13755, 14540, 12453
hsa-let-7c-3p, 28, 12, 0, 87, 70, 32, 4, 19, 17, 23, 17, 36, 36, 46, 49, 31, 12, 30, 22, 16, 29, 30, 49, 23, 35, 16, 15, 11, 13, 16, 18, 6, 16, 20, 173, 259, 95, 54, 168, 245, 284, 278, 257, 279, 318, 462, 87, 112, 39, 179, 82, 89, 276, 330, 272, 267, 254, 128, 663, 160, 335, 247, 299, 244, 13, 13, 8, 63, 41, 20, 45, 79, 83, 102, 83, 53, 138, 46, 92, 103, 117, 103, 5, 7, 2, 5, 4, 2, 11, 21, 15, 18, 17, 5, 40, 4, 18, 10, 15, 11
hsa-let-7d-3p, 5264, 2920, 6, 4703, 6566, 1592, 312, 2780, 2621, 2482, 1874, 5582, 3391, 5695, 4605, 5431, 2829, 5125, 2330, 2542, 3787, 3761, 4369, 3699, 3317, 968, 674, 606, 948, 713, 901, 401, 936, 866, 12919, 11450, 5150, 4064, 10780, 14091, 18300, 16428, 14894, 20464, 20564, 24752, 9816, 9652, 6992, 16321, 8630, 7349, 19542, 28974, 25616, 21964, 16976, 12811, 44341, 21080, 22687, 18268, 19367, 18788, 1061, 951, 930, 2245, 1745, 988, 2176, 3116, 3047, 3228, 2804, 2420, 4166, 3084, 3115, 3007, 3063, 3109, 480, 479, 354, 813, 398, 378, 954, 1371, 1231, 1058, 841, 615, 2154, 1033, 1094, 867, 952, 914
hsa-let-7d-5p, 17674, 9937, 30, 14968, 33130, 3167, 1688, 4670, 4928, 4362, 3161, 8682, 5060, 13504, 9892, 11582, 6313, 14260, 5874, 9331, 13351, 14070, 18272, 19956, 16360, 3435, 4397, 3242, 5629, 3939, 4715, 2175, 4418, 4531, 31064, 34282, 11931, 14345, 33923, 46676, 52350, 47240, 41758, 52632, 54893, 63668, 42850, 37557, 24137, 81598, 43213, 33156, 99962, 145175, 137723, 100225, 71633, 55481, 204532, 87701, 84775, 69027, 73252, 72509, 2313, 1968, 1872, 3669, 2892, 2333, 3988, 4642, 4706, 4733, 3957, 3455, 6042, 4689, 4452, 4310, 4431, 4416, 2098, 1820, 1181, 3904, 2153, 1624, 4822, 7140, 6616, 4924, 3531, 2678, 9892, 4316, 4269, 3445, 3672, 3522
hsa-let-7e-3p, 128, 72, 0, 225, 263, 106, 9, 109, 92, 81, 33, 107, 69, 158, 87, 103, 52, 103, 57, 63, 108, 96, 111, 123, 108, 62, 38, 48, 79, 51, 96, 38, 65, 82, 226, 265, 65, 159, 373, 445, 727, 689, 635, 851, 962, 1032, 56, 25, 14, 301, 176, 158, 469, 747, 520, 726, 625, 432, 1746, 827, 790, 813, 949, 879, 15, 9, 8, 105, 100, 33, 101, 184, 186, 299, 253, 191, 387, 276, 266, 302, 410, 373, 0, 0, 0, 18, 13, 8, 20, 31, 32, 38, 30, 28, 86, 49, 29, 40, 46, 34
